,detected_regime
2015-11-23,Crisis/Bear
2015-11-24,Crisis/Bear
2015-11-25,Crisis/Bear
2015-11-26,Crisis/Bear
2015-11-27,Crisis/Bear
2015-11-30,Crisis/Bear
2015-12-01,Crisis/Bear
2015-12-02,Crisis/Bear
2015-12-03,Crisis/Bear
2015-12-04,Crisis/Bear
2015-12-07,Crisis/Bear
2015-12-08,Crisis/Bear
2015-12-09,Crisis/Bear
2015-12-10,Crisis/Bear
2015-12-11,Crisis/Bear
2015-12-14,Crisis/Bear
2015-12-15,Crisis/Bear
2015-12-16,Crisis/Bear
2015-12-17,Crisis/Bear
2015-12-18,Crisis/Bear
2015-12-21,Crisis/Bear
2015-12-22,Crisis/Bear
2015-12-23,Crisis/Bear
2015-12-24,Crisis/Bear
2015-12-25,Crisis/Bear
2015-12-28,Crisis/Bear
2015-12-29,Crisis/Bear
2015-12-30,Crisis/Bear
2015-12-31,Crisis/Bear
2016-01-01,Crisis/Bear
2016-01-04,Crisis/Bear
2016-01-05,Crisis/Bear
2016-01-06,Crisis/Bear
2016-01-07,Crisis/Bear
2016-01-08,Crisis/Bear
2016-01-11,Crisis/Bear
2016-01-12,Crisis/Bear
2016-01-13,Crisis/Bear
2016-01-14,Crisis/Bear
2016-01-15,Crisis/Bear
2016-01-18,Crisis/Bear
2016-01-19,Crisis/Bear
2016-01-20,Crisis/Bear
2016-01-21,Crisis/Bear
2016-01-22,Crisis/Bear
2016-01-25,Crisis/Bear
2016-01-26,Crisis/Bear
2016-01-27,Crisis/Bear
2016-01-28,Crisis/Bear
2016-01-29,Crisis/Bear
2016-02-01,Crisis/Bear
2016-02-02,Crisis/Bear
2016-02-03,Crisis/Bear
2016-02-04,Crisis/Bear
2016-02-05,Crisis/Bear
2016-02-08,Crisis/Bear
2016-02-09,Crisis/Bear
2016-02-10,Crisis/Bear
2016-02-11,Crisis/Bear
2016-02-12,Crisis/Bear
2016-02-15,Crisis/Bear
2016-02-16,Crisis/Bear
2016-02-17,Crisis/Bear
2016-02-18,Crisis/Bear
2016-02-19,Crisis/Bear
2016-02-22,Crisis/Bear
2016-02-23,Crisis/Bear
2016-02-24,Crisis/Bear
2016-02-25,Crisis/Bear
2016-02-26,Crisis/Bear
2016-02-29,Crisis/Bear
2016-03-01,Crisis/Bear
2016-03-02,Crisis/Bear
2016-03-03,Crisis/Bear
2016-03-04,Crisis/Bear
2016-03-07,Crisis/Bear
2016-03-08,Crisis/Bear
2016-03-09,Crisis/Bear
2016-03-10,Crisis/Bear
2016-03-11,Crisis/Bear
2016-03-14,Crisis/Bear
2016-03-15,Crisis/Bear
2016-03-16,Crisis/Bear
2016-03-17,Crisis/Bear
2016-03-18,Crisis/Bear
2016-03-21,Crisis/Bear
2016-03-22,Crisis/Bear
2016-03-23,Crisis/Bear
2016-03-24,Crisis/Bear
2016-03-25,Crisis/Bear
2016-03-28,Crisis/Bear
2016-03-29,Crisis/Bear
2016-03-30,Crisis/Bear
2016-03-31,Crisis/Bear
2016-04-01,Crisis/Bear
2016-04-04,Crisis/Bear
2016-04-05,Crisis/Bear
2016-04-06,Crisis/Bear
2016-04-07,Crisis/Bear
2016-04-08,Crisis/Bear
2016-04-11,Crisis/Bear
2016-04-12,Crisis/Bear
2016-04-13,Crisis/Bear
2016-04-14,Crisis/Bear
2016-04-15,Crisis/Bear
2016-04-18,Crisis/Bear
2016-04-19,Crisis/Bear
2016-04-20,Crisis/Bear
2016-04-21,Crisis/Bear
2016-04-22,Crisis/Bear
2016-04-25,Crisis/Bear
2016-04-26,Crisis/Bear
2016-04-27,Crisis/Bear
2016-04-28,Crisis/Bear
2016-04-29,Crisis/Bear
2016-05-02,Crisis/Bear
2016-05-03,Crisis/Bear
2016-05-04,Crisis/Bear
2016-05-05,Crisis/Bear
2016-05-06,Crisis/Bear
2016-05-09,Crisis/Bear
2016-05-10,Crisis/Bear
2016-05-11,Crisis/Bear
2016-05-12,Crisis/Bear
2016-05-13,Crisis/Bear
2016-05-16,Crisis/Bear
2016-05-17,Crisis/Bear
2016-05-18,Crisis/Bear
2016-05-19,Crisis/Bear
2016-05-20,Crisis/Bear
2016-05-23,Crisis/Bear
2016-05-24,Crisis/Bear
2016-05-25,Crisis/Bear
2016-05-26,Crisis/Bear
2016-05-27,Crisis/Bear
2016-05-30,Crisis/Bear
2016-05-31,Crisis/Bear
2016-06-01,Crisis/Bear
2016-06-02,Crisis/Bear
2016-06-03,Crisis/Bear
2016-06-06,Crisis/Bear
2016-06-07,Crisis/Bear
2016-06-08,Crisis/Bear
2016-06-09,Crisis/Bear
2016-06-10,Crisis/Bear
2016-06-13,Crisis/Bear
2016-06-14,Crisis/Bear
2016-06-15,Crisis/Bear
2016-06-16,Crisis/Bear
2016-06-17,Crisis/Bear
2016-06-20,Crisis/Bear
2016-06-21,Crisis/Bear
2016-06-22,Crisis/Bear
2016-06-23,Crisis/Bear
2016-06-24,Crisis/Bear
2016-06-27,Crisis/Bear
2016-06-28,Crisis/Bear
2016-06-29,Crisis/Bear
2016-06-30,Crisis/Bear
2016-07-01,Crisis/Bear
2016-07-04,Crisis/Bear
2016-07-05,Crisis/Bear
2016-07-06,Crisis/Bear
2016-07-07,Crisis/Bear
2016-07-08,Crisis/Bear
2016-07-11,Crisis/Bear
2016-07-12,Crisis/Bear
2016-07-13,Crisis/Bear
2016-07-14,Crisis/Bear
2016-07-15,Crisis/Bear
2016-07-18,Crisis/Bear
2016-07-19,Crisis/Bear
2016-07-20,Crisis/Bear
2016-07-21,Crisis/Bear
2016-07-22,Crisis/Bear
2016-07-25,Crisis/Bear
2016-07-26,Crisis/Bear
2016-07-27,Crisis/Bear
2016-07-28,Crisis/Bear
2016-07-29,Crisis/Bear
2016-08-01,Crisis/Bear
2016-08-02,Crisis/Bear
2016-08-03,Crisis/Bear
2016-08-04,Crisis/Bear
2016-08-05,Crisis/Bear
2016-08-08,Crisis/Bear
2016-08-09,Crisis/Bear
2016-08-10,Crisis/Bear
2016-08-11,Crisis/Bear
2016-08-12,Crisis/Bear
2016-08-15,Crisis/Bear
2016-08-16,Crisis/Bear
2016-08-17,Crisis/Bear
2016-08-18,Crisis/Bear
2016-08-19,Crisis/Bear
2016-08-22,Crisis/Bear
2016-08-23,Crisis/Bear
2016-08-24,Crisis/Bear
2016-08-25,Crisis/Bear
2016-08-26,Crisis/Bear
2016-08-29,Crisis/Bear
2016-08-30,Crisis/Bear
2016-08-31,Crisis/Bear
2016-09-01,Crisis/Bear
2016-09-02,Crisis/Bear
2016-09-05,Crisis/Bear
2016-09-06,Crisis/Bear
2016-09-07,Crisis/Bear
2016-09-08,Crisis/Bear
2016-09-09,Crisis/Bear
2016-09-12,Crisis/Bear
2016-09-13,Crisis/Bear
2016-09-14,Calm Bull
2016-09-15,Calm Bull
2016-09-16,Calm Bull
2016-09-19,Calm Bull
2016-09-20,Crisis/Bear
2016-09-21,Crisis/Bear
2016-09-22,Crisis/Bear
2016-09-23,Crisis/Bear
2016-09-26,Crisis/Bear
2016-09-27,Crisis/Bear
2016-09-28,Crisis/Bear
2016-09-29,Crisis/Bear
2016-09-30,Crisis/Bear
2016-10-03,Crisis/Bear
2016-10-04,Crisis/Bear
2016-10-05,Crisis/Bear
2016-10-06,Crisis/Bear
2016-10-07,Crisis/Bear
2016-10-10,Crisis/Bear
2016-10-11,Crisis/Bear
2016-10-12,Crisis/Bear
2016-10-13,Crisis/Bear
2016-10-14,Crisis/Bear
2016-10-17,Crisis/Bear
2016-10-18,Crisis/Bear
2016-10-19,Crisis/Bear
2016-10-20,Crisis/Bear
2016-10-21,Crisis/Bear
2016-10-24,Crisis/Bear
2016-10-25,Crisis/Bear
2016-10-26,Crisis/Bear
2016-10-27,Crisis/Bear
2016-10-28,Crisis/Bear
2016-10-31,Crisis/Bear
2016-11-01,Crisis/Bear
2016-11-02,Crisis/Bear
2016-11-03,Crisis/Bear
2016-11-04,Crisis/Bear
2016-11-07,Crisis/Bear
2016-11-08,Crisis/Bear
2016-11-09,Crisis/Bear
2016-11-10,Crisis/Bear
2016-11-11,Crisis/Bear
2016-11-14,Crisis/Bear
2016-11-15,Crisis/Bear
2016-11-16,Crisis/Bear
2016-11-17,Crisis/Bear
2016-11-18,Crisis/Bear
2016-11-21,Crisis/Bear
2016-11-22,Crisis/Bear
2016-11-23,Crisis/Bear
2016-11-24,Crisis/Bear
2016-11-25,Crisis/Bear
2016-11-28,Crisis/Bear
2016-11-29,Crisis/Bear
2016-11-30,Crisis/Bear
2016-12-01,Crisis/Bear
2016-12-02,Crisis/Bear
2016-12-05,Crisis/Bear
2016-12-06,Crisis/Bear
2016-12-07,Crisis/Bear
2016-12-08,Crisis/Bear
2016-12-09,Crisis/Bear
2016-12-12,Crisis/Bear
2016-12-13,Crisis/Bear
2016-12-14,Crisis/Bear
2016-12-15,Crisis/Bear
2016-12-16,Crisis/Bear
2016-12-19,Crisis/Bear
2016-12-20,Crisis/Bear
2016-12-21,Crisis/Bear
2016-12-22,Crisis/Bear
2016-12-23,Crisis/Bear
2016-12-26,Crisis/Bear
2016-12-27,Crisis/Bear
2016-12-28,Crisis/Bear
2016-12-29,Crisis/Bear
2016-12-30,Crisis/Bear
2017-01-02,Crisis/Bear
2017-01-03,Crisis/Bear
2017-01-04,Crisis/Bear
2017-01-05,Crisis/Bear
2017-01-06,Crisis/Bear
2017-01-09,Crisis/Bear
2017-01-10,Crisis/Bear
2017-01-11,Crisis/Bear
2017-01-12,Crisis/Bear
2017-01-13,Crisis/Bear
2017-01-16,Crisis/Bear
2017-01-17,Crisis/Bear
2017-01-18,Crisis/Bear
2017-01-19,Crisis/Bear
2017-01-20,Crisis/Bear
2017-01-23,Crisis/Bear
2017-01-24,Crisis/Bear
2017-01-25,Crisis/Bear
2017-01-26,Crisis/Bear
2017-01-27,Crisis/Bear
2017-01-30,Crisis/Bear
2017-01-31,Crisis/Bear
2017-02-01,Crisis/Bear
2017-02-02,Crisis/Bear
2017-02-03,Crisis/Bear
2017-02-06,Crisis/Bear
2017-02-07,Crisis/Bear
2017-02-08,Crisis/Bear
2017-02-09,Crisis/Bear
2017-02-10,Crisis/Bear
2017-02-13,Crisis/Bear
2017-02-14,Crisis/Bear
2017-02-15,Crisis/Bear
2017-02-16,Crisis/Bear
2017-02-17,Crisis/Bear
2017-02-20,Crisis/Bear
2017-02-21,Crisis/Bear
2017-02-22,Crisis/Bear
2017-02-23,Crisis/Bear
2017-02-24,Crisis/Bear
2017-02-27,Crisis/Bear
2017-02-28,Crisis/Bear
2017-03-01,Crisis/Bear
2017-03-02,Crisis/Bear
2017-03-03,Crisis/Bear
2017-03-06,Crisis/Bear
2017-03-07,Crisis/Bear
2017-03-08,Crisis/Bear
2017-03-09,Crisis/Bear
2017-03-10,Crisis/Bear
2017-03-13,Crisis/Bear
2017-03-14,Crisis/Bear
2017-03-15,Crisis/Bear
2017-03-16,Crisis/Bear
2017-03-17,Calm Bull
2017-03-20,Crisis/Bear
2017-03-21,Crisis/Bear
2017-03-22,Crisis/Bear
2017-03-23,Crisis/Bear
2017-03-24,Crisis/Bear
2017-03-27,Crisis/Bear
2017-03-28,Crisis/Bear
2017-03-29,Crisis/Bear
2017-03-30,Calm Bull
2017-03-31,Calm Bull
2017-04-03,Calm Bull
2017-04-04,Calm Bull
2017-04-05,Calm Bull
2017-04-06,Calm Bull
2017-04-07,Calm Bull
2017-04-10,Calm Bull
2017-04-11,Calm Bull
2017-04-12,Calm Bull
2017-04-13,Calm Bull
2017-04-14,Calm Bull
2017-04-17,Calm Bull
2017-04-18,Calm Bull
2017-04-19,Calm Bull
2017-04-20,Calm Bull
2017-04-21,Calm Bull
2017-04-24,Calm Bull
2017-04-25,Calm Bull
2017-04-26,Calm Bull
2017-04-27,Calm Bull
2017-04-28,Calm Bull
2017-05-01,Calm Bull
2017-05-02,Calm Bull
2017-05-03,Choppy/Neutral
2017-05-04,Choppy/Neutral
2017-05-05,Choppy/Neutral
2017-05-08,Choppy/Neutral
2017-05-09,Choppy/Neutral
2017-05-10,Choppy/Neutral
2017-05-11,Choppy/Neutral
2017-05-12,Choppy/Neutral
2017-05-15,Calm Bull
2017-05-16,Calm Bull
2017-05-17,Calm Bull
2017-05-18,Calm Bull
2017-05-19,Calm Bull
2017-05-22,Calm Bull
2017-05-23,Calm Bull
2017-05-24,Calm Bull
2017-05-25,Calm Bull
2017-05-26,Calm Bull
2017-05-29,Calm Bull
2017-05-30,Calm Bull
2017-05-31,Calm Bull
2017-06-01,Choppy/Neutral
2017-06-02,Choppy/Neutral
2017-06-05,Choppy/Neutral
2017-06-06,Choppy/Neutral
2017-06-07,Choppy/Neutral
2017-06-08,Choppy/Neutral
2017-06-09,Calm Bull
2017-06-12,Calm Bull
2017-06-13,Calm Bull
2017-06-14,Calm Bull
2017-06-15,Calm Bull
2017-06-16,Calm Bull
2017-06-19,Choppy/Neutral
2017-06-20,Choppy/Neutral
2017-06-21,Choppy/Neutral
2017-06-22,Choppy/Neutral
2017-06-23,Calm Bull
2017-06-26,Calm Bull
2017-06-27,Choppy/Neutral
2017-06-28,Choppy/Neutral
2017-06-29,Choppy/Neutral
2017-06-30,Choppy/Neutral
2017-07-03,Choppy/Neutral
2017-07-04,Choppy/Neutral
2017-07-05,Choppy/Neutral
2017-07-06,Choppy/Neutral
2017-07-07,Choppy/Neutral
2017-07-10,Choppy/Neutral
2017-07-11,Choppy/Neutral
2017-07-12,Choppy/Neutral
2017-07-13,Choppy/Neutral
2017-07-14,Choppy/Neutral
2017-07-17,Choppy/Neutral
2017-07-18,Choppy/Neutral
2017-07-19,Choppy/Neutral
2017-07-20,Choppy/Neutral
2017-07-21,Choppy/Neutral
2017-07-24,Choppy/Neutral
2017-07-25,Choppy/Neutral
2017-07-26,Choppy/Neutral
2017-07-27,Choppy/Neutral
2017-07-28,Choppy/Neutral
2017-07-31,Calm Bull
2017-08-01,Choppy/Neutral
2017-08-02,Calm Bull
2017-08-03,Calm Bull
2017-08-04,Calm Bull
2017-08-07,Calm Bull
2017-08-08,Calm Bull
2017-08-09,Calm Bull
2017-08-10,Calm Bull
2017-08-11,Calm Bull
2017-08-14,Calm Bull
2017-08-15,Calm Bull
2017-08-16,Calm Bull
2017-08-17,Calm Bull
2017-08-18,Calm Bull
2017-08-21,Calm Bull
2017-08-22,Calm Bull
2017-08-23,Calm Bull
2017-08-24,Calm Bull
2017-08-25,Calm Bull
2017-08-28,Calm Bull
2017-08-29,Calm Bull
2017-08-30,Calm Bull
2017-08-31,Calm Bull
2017-09-01,Calm Bull
2017-09-04,Calm Bull
2017-09-05,Calm Bull
2017-09-06,Calm Bull
2017-09-07,Calm Bull
2017-09-08,Calm Bull
2017-09-11,Calm Bull
2017-09-12,Calm Bull
2017-09-13,Calm Bull
2017-09-14,Calm Bull
2017-09-15,Calm Bull
2017-09-18,Calm Bull
2017-09-19,Calm Bull
2017-09-20,Calm Bull
2017-09-21,Calm Bull
2017-09-22,Calm Bull
2017-09-25,Calm Bull
2017-09-26,Calm Bull
2017-09-27,Calm Bull
2017-09-28,Calm Bull
2017-09-29,Calm Bull
2017-10-02,Calm Bull
2017-10-03,Calm Bull
2017-10-04,Calm Bull
2017-10-05,Calm Bull
2017-10-06,Calm Bull
2017-10-09,Calm Bull
2017-10-10,Calm Bull
2017-10-11,Calm Bull
2017-10-12,Calm Bull
2017-10-13,Calm Bull
2017-10-16,Calm Bull
2017-10-17,Calm Bull
2017-10-18,Calm Bull
2017-10-19,Calm Bull
2017-10-20,Calm Bull
2017-10-23,Calm Bull
2017-10-24,Calm Bull
2017-10-25,Calm Bull
2017-10-26,Calm Bull
2017-10-27,Calm Bull
2017-10-30,Calm Bull
2017-10-31,Calm Bull
2017-11-01,Calm Bull
2017-11-02,Calm Bull
2017-11-03,Calm Bull
2017-11-06,Calm Bull
2017-11-07,Calm Bull
2017-11-08,Calm Bull
2017-11-09,Calm Bull
2017-11-10,Calm Bull
2017-11-13,Calm Bull
2017-11-14,Calm Bull
2017-11-15,Calm Bull
2017-11-16,Calm Bull
2017-11-17,Calm Bull
2017-11-20,Calm Bull
2017-11-21,Calm Bull
2017-11-22,Calm Bull
2017-11-23,Calm Bull
2017-11-24,Calm Bull
2017-11-27,Calm Bull
2017-11-28,Calm Bull
2017-11-29,Calm Bull
2017-11-30,Calm Bull
2017-12-01,Calm Bull
2017-12-04,Calm Bull
2017-12-05,Calm Bull
2017-12-06,Calm Bull
2017-12-07,Calm Bull
2017-12-08,Calm Bull
2017-12-11,Calm Bull
2017-12-12,Calm Bull
2017-12-13,Calm Bull
2017-12-14,Calm Bull
2017-12-15,Calm Bull
2017-12-18,Calm Bull
2017-12-19,Calm Bull
2017-12-20,Calm Bull
2017-12-21,Calm Bull
2017-12-22,Calm Bull
2017-12-25,Calm Bull
2017-12-26,Calm Bull
2017-12-27,Calm Bull
2017-12-28,Calm Bull
2017-12-29,Calm Bull
2018-01-01,Calm Bull
2018-01-02,Calm Bull
2018-01-03,Calm Bull
2018-01-04,Calm Bull
2018-01-05,Calm Bull
2018-01-08,Calm Bull
2018-01-09,Calm Bull
2018-01-10,Calm Bull
2018-01-11,Calm Bull
2018-01-12,Calm Bull
2018-01-15,Calm Bull
2018-01-16,Calm Bull
2018-01-17,Calm Bull
2018-01-18,Calm Bull
2018-01-19,Calm Bull
2018-01-22,Calm Bull
2018-01-23,Calm Bull
2018-01-24,Calm Bull
2018-01-25,Calm Bull
2018-01-26,Calm Bull
2018-01-29,Calm Bull
2018-01-30,Calm Bull
2018-01-31,Calm Bull
2018-02-01,Calm Bull
2018-02-02,Calm Bull
2018-02-05,Choppy/Neutral
2018-02-06,Choppy/Neutral
2018-02-07,Choppy/Neutral
2018-02-08,Choppy/Neutral
2018-02-09,Choppy/Neutral
2018-02-12,Choppy/Neutral
2018-02-13,Choppy/Neutral
2018-02-14,Choppy/Neutral
2018-02-15,Choppy/Neutral
2018-02-16,Crisis/Bear
2018-02-19,Choppy/Neutral
2018-02-20,Choppy/Neutral
2018-02-21,Choppy/Neutral
2018-02-22,Choppy/Neutral
2018-02-23,Choppy/Neutral
2018-02-26,Choppy/Neutral
2018-02-27,Choppy/Neutral
2018-02-28,Calm Bull
2018-03-01,Calm Bull
2018-03-02,Calm Bull
2018-03-05,Calm Bull
2018-03-06,Calm Bull
2018-03-07,Calm Bull
2018-03-08,Calm Bull
2018-03-09,Choppy/Neutral
2018-03-12,Choppy/Neutral
2018-03-13,Choppy/Neutral
2018-03-14,Choppy/Neutral
2018-03-15,Choppy/Neutral
2018-03-16,Choppy/Neutral
2018-03-19,Choppy/Neutral
2018-03-20,Choppy/Neutral
2018-03-21,Choppy/Neutral
2018-03-22,Choppy/Neutral
2018-03-23,Choppy/Neutral
2018-03-26,Choppy/Neutral
2018-03-27,Choppy/Neutral
2018-03-28,Choppy/Neutral
2018-03-29,Choppy/Neutral
2018-03-30,Choppy/Neutral
2018-04-02,Choppy/Neutral
2018-04-03,Choppy/Neutral
2018-04-04,Choppy/Neutral
2018-04-05,Choppy/Neutral
2018-04-06,Choppy/Neutral
2018-04-09,Choppy/Neutral
2018-04-10,Choppy/Neutral
2018-04-11,Choppy/Neutral
2018-04-12,Choppy/Neutral
2018-04-13,Choppy/Neutral
2018-04-16,Choppy/Neutral
2018-04-17,Choppy/Neutral
2018-04-18,Choppy/Neutral
2018-04-19,Choppy/Neutral
2018-04-20,Choppy/Neutral
2018-04-23,Choppy/Neutral
2018-04-24,Calm Bull
2018-04-25,Choppy/Neutral
2018-04-26,Choppy/Neutral
2018-04-27,Choppy/Neutral
2018-04-30,Choppy/Neutral
2018-05-01,Choppy/Neutral
2018-05-02,Choppy/Neutral
2018-05-03,Choppy/Neutral
2018-05-04,Choppy/Neutral
2018-05-07,Choppy/Neutral
2018-05-08,Choppy/Neutral
2018-05-09,Choppy/Neutral
2018-05-10,Choppy/Neutral
2018-05-11,Choppy/Neutral
2018-05-14,Choppy/Neutral
2018-05-15,Choppy/Neutral
2018-05-16,Choppy/Neutral
2018-05-17,Choppy/Neutral
2018-05-18,Choppy/Neutral
2018-05-21,Choppy/Neutral
2018-05-22,Choppy/Neutral
2018-05-23,Choppy/Neutral
2018-05-24,Choppy/Neutral
2018-05-25,Choppy/Neutral
2018-05-28,Choppy/Neutral
2018-05-29,Choppy/Neutral
2018-05-30,Choppy/Neutral
2018-05-31,Choppy/Neutral
2018-06-01,Choppy/Neutral
2018-06-04,Choppy/Neutral
2018-06-05,Choppy/Neutral
2018-06-06,Choppy/Neutral
2018-06-07,Choppy/Neutral
2018-06-08,Choppy/Neutral
2018-06-11,Choppy/Neutral
2018-06-12,Choppy/Neutral
2018-06-13,Choppy/Neutral
2018-06-14,Choppy/Neutral
2018-06-15,Choppy/Neutral
2018-06-18,Choppy/Neutral
2018-06-19,Choppy/Neutral
2018-06-20,Choppy/Neutral
2018-06-21,Choppy/Neutral
2018-06-22,Choppy/Neutral
2018-06-25,Choppy/Neutral
2018-06-26,Choppy/Neutral
2018-06-27,Choppy/Neutral
2018-06-28,Choppy/Neutral
2018-06-29,Choppy/Neutral
2018-07-02,Choppy/Neutral
2018-07-03,Calm Bull
2018-07-04,Calm Bull
2018-07-05,Calm Bull
2018-07-06,Calm Bull
2018-07-09,Calm Bull
